time,satellite id,x in m,y in m,z in m,clock error,x-sdev,y-sdev,z-sdev,c-sdev
0,PG10,5124.447573,14031.292207,22126.279139,-18.506657,9,8,8,191
15,PG10,2817.558042,14944.077428,21912.684920,-18.507675,9,8,8,191
30,PG10,601.921617,15964.166176,21326.788269,-18.509334,9,7,7,191
45,PG10,-1482.094241,17063.150907,20377.486579,-18.511059,8,7,7,190
60,PG10,-3399.718512,18206.518923,19079.880622,-18.512471,8,6,7,191
75,PG10,-5122.948218,19354.902022,17455.099029,-18.513585,8,6,7,191
90,PG10,-6631.471459,20465.538499,15530.017833,-18.515505,8,6,7,191
105,PG10,-7913.302914,21493.895592,13336.874086,-18.517471,8,7,8,191
120,PG10,-8965.102611,22395.392559,10912.774712,-18.518890,8,7,8,191
135,PG10,-9792.160365,23127.158607,8299.104265,-18.520334,8,8,8,192
150,PG10,-10408.041133,23649.756271,5540.838155,-18.521745,8,9,8,192
165,PG10,-10833.900301,23928.800080,2685.770967,-18.522802,8,9,8,192
180,PG10,-11097.491990,23936.402554,-216.327389,-18.524374,8,9,8,192
195,PG10,-11231.907102,23652.385016,-3114.611915,-18.525341,9,10,8,192
210,PG10,-11274.090444,23065.199266,-5958.100701,-18.526721,9,10,8,192
225,PG10,-11263.196937,22172.517574,-8696.630373,-18.527218,9,10,8,192
240,PG10,-11238.855158,20981.462311,-11281.806709,-18.529127,8,10,8,192
255,PG10,-11239.411572,19508.462137,-13667.927581,-18.531158,8,10,8,192
270,PG10,-11300.230454,17778.738213,-15812.855698,-18.532069,8,10,9,192
285,PG10,-11452.122519,15825.440510,-17678.819730,-18.533657,8,9,9,192
300,PG10,-11719.969666,13688.470044,-19233.124489,-18.535145,8,9,9,192
315,PG10,-12121.604363,11413.036839,-20448.753655,-18.536210,8,9,9,191
330,PG10,-12666.990491,9048.014897,-21304.851929,-18.538259,8,9,8,191
345,PG10,-13357.738646,6644.163836,-21787.077372,-18.539461,8,9,8,191
360,PG10,-14186.973764,4252.291788,-21887.818661,-18.541112,7,9,7,191
375,PG10,-15139.557254,1921.435422,-21606.276009,-18.542463,7,8,7,191
390,PG10,-16192.650535,-302.869284,-20948.408247,-18.544022,7,8,6,190
405,PG10,-17316.592617,-2380.157349,-19926.751971,-18.545763,6,8,6,191
420,PG10,-18476.051863,-4276.386359,-18560.121494,-18.547187,6,8,6,191
435,PG10,-19631.401781,-5965.019986,-16873.200695,-18.548444,6,8,7,191
450,PG10,-20740.262946,-7427.806329,-14896.039513,-18.549336,7,8,7,191
465,PG10,-21759.148142,-8655.227090,-12663.468936,-18.549930,7,8,7,191
480,PG10,-22645.145546,-9646.607080,-10214.448872,-18.551746,8,8,8,192
495,PG10,-23357.575145,-10409.886766,-7591.363335,-18.553141,8,8,8,191
510,PG10,-23859.556380,-10961.073138,-4839.277015,-18.554606,9,8,8,191
525,PG10,-24119.429975,-11323.395466,-2005.166619,-18.555675,9,8,8,191
540,PG10,-24111.983631,-11526.202487,862.860520,-18.557116,9,8,8,191
555,PG10,-23819.439469,-11603.645723,3716.349096,-18.557740,9,8,7,191
570,PG10,-23232.170379,-11593.200047,6507.269350,-18.558791,9,7,7,191
585,PG10,-22349.122367,-11534.077065,9188.772086,-18.559766,8,7,7,191
600,PG10,-21177.930463,-11465.589553,11715.916841,-18.561012,8,7,7,191
615,PG10,-19734.726120,-11425.525850,14046.365628,-18.562474,8,7,8,191
630,PG10,-18043.644171,-11448.591973,16141.035325,-18.563123,8,8,8,191
645,PG10,-16136.047513,-11564.976706,17964.702401,-18.564641,8,8,8,191
660,PG10,-14049.496469,-11799.090351,19486.553833,-18.565787,8,8,8,191
675,PG10,-11826.498586,-12168.522336,20680.678461,-18.566094,8,8,8,191
690,PG10,-9513.081579,-12683.255606,21526.492924,-18.566550,8,8,8,191
705,PG10,-7157.238353,-13345.167541,22009.096337,-18.567538,8,8,8,190
720,PG10,-4807.297865,-14147.837940,22119.547868,-18.569631,8,7,7,190
735,PG10,-2510.278819,-15076.674468,21855.061362,-18.570778,8,7,7,190
750,PG10,-310.284817,-16109.355290,21219.111285,-18.572297,8,7,6,190
765,PG10,1753.000596,-17216.577477,20221.444613,-18.574210,8,6,6,190
780,PG10,3645.662706,-18363.088612,18877.993871,-18.575686,8,6,6,190
795,PG10,5340.696020,-19508.968045,17210.687491,-18.576774,8,6,7,190
810,PG10,6818.890310,-20611.113963,15247.154996,-18.577639,8,6,7,189
825,PG10,8069.424518,-21624.883207,13020.326282,-18.579371,8,7,7,189
840,PG10,9090.140835,-22505.823086,10567.926479,-18.581542,8,7,7,189
855,PG10,9887.483019,-23211.428751,7931.870442,-18.583279,8,8,7,190
870,PG10,10476.096031,-23702.856489,5157.563831,-18.585008,8,9,7,190
885,PG10,10878.097915,-23946.522848,2293.120824,-18.586718,8,9,7,191
900,PG10,11122.048903,-23915.522226,-611.488364,-18.588175,8,9,7,191
915,PG10,11241.656250,-23590.801370,-3505.344012,-18.589086,8,10,7,191
930,PG10,11274.265717,-22962.038211,-6337.518666,-18.590388,8,10,8,192
945,PG10,11259.200994,-22028.184264,-9058.033283,-18.591594,8,10,8,192
960,PG10,11236.020188,-20797.643927,-11618.805453,-18.592093,8,10,8,193
975,PG10,11242.763171,-19288.079798,-13974.566866,-18.592690,8,10,8,193
990,PG10,11314.264747,-17525.849763,-16083.727579,-18.594111,8,9,8,192
1005,PG10,11480.606093,-15545.098143,-17909.165899,-18.595877,8,9,9,192
1020,PG10,11765.770874,-13386.538744,-19418.924890,-18.597295,8,9,8,192
1035,PG10,12186.563108,-11095.981336,-20586.799420,-18.599243,8,9,8,192
1050,PG10,12751.831841,-8722.664193,-21392.801148,-18.600270,8,9,8,192
1065,PG10,13462.033644,-6317.463238,-21823.492724,-18.602675,8,8,8,192
1080,PG10,14309.148647,-3931.052749,-21872.186509,-18.603812,7,8,7,192
1095,PG10,15276.950215,-1612.093429,-21539.007083,-18.605706,7,8,7,191
1110,PG10,16341.613108,594.479114,-20830.820519,-18.607290,7,8,6,191
1125,PG10,17472.630980,2648.998288,-19761.036753,-18.608647,7,8,6,191
1140,PG10,18634.001790,4518.384310,-18349.294147,-18.610407,6,8,6,191
1155,PG10,19785.629778,6177.188163,-16621.037594,-18.612088,6,8,7,191
1170,PG10,20884.885252,7608.326303,-14607.003089,-18.613920,7,8,7,191
1185,PG10,21888.258802,8803.483979,-12342.622741,-18.615367,7,8,8,191
1200,PG10,22753.044669,9763.178461,-9867.364628,-18.616085,8,8,8,191
1215,PG10,23438.988696,10496.486682,-7224.021913,-18.616655,8,8,8,192
1230,PG10,23909.839411,11020.454141,-4457.965204,-18.617746,9,8,8,192
1245,PG10,24134.746018,11359.213137,-1616.371443,-18.618905,9,8,8,192
1260,PG10,24089.453998,11542.848044,1252.558316,-18.620580,9,8,8,192
1275,PG10,23757.257443,11606.053338,4100.380924,-18.621386,9,8,8,192
1290,PG10,23129.676559,11586.636201,6879.182683,-18.622694,9,8,8,191
1305,PG10,22206.838846,11523.919741,9542.331204,-18.623634,9,8,8,191
1320,PG10,20997.552944,11457.105292,12045.199347,-18.624828,8,8,8,191
1335,PG10,19519.074456,11423.652608,14345.853751,-18.626369,9,8,8,191
1350,PG10,17796.573217,11457.735507,16405.701125,-18.627151,9,8,9,191
1365,PG10,15862.321430,11588.827666,18190.086017,-18.627961,9,8,9,192
1380,PG10,13754.630854,11840.468597,19668.833968,-18.630317,9,8,9,192
1395,PG10,11516.575834,12229.254101,20816.734307,-18.631565,9,8,9,191
1410,PG10,9194.545808,12764.088053,21613.956712,-18.633810,9,8,9,191
1425,PG10,6836.676959,13445.724084,22046.395730,-18.635570,9,8,9,191
